Prompt,Completion
Which country's laws govern this Policy?,This Policy is governed by the laws of India.
Which courts have jurisdiction in case of a dispute arising under this Policy?,The Indian courts alone have jurisdiction in any dispute arising under this Policy.
Under what circumstances can this Policy be voided?,"This Policy can be voided in the event of misrepresentation, misdescription or non-disclosure by any or on behalf of the Insured Person of any material particular."
What must Insured Persons do to prevent Accidents and avoid Sickness?,Insured Persons must take all reasonable precautions to prevent Accidents and to avoid Sickness.
What statutory requirements must Insured Persons comply with as a condition precedent to the Company's liability under this Policy?,Insured Persons must comply with all statutory requirements as a condition precedent to the Company's liability hereunder.
What is the consequence of failing to perform any act or comply with any obligation that the Insured Person is required to do under this Policy?,Timely performance or compliance is a condition precedent to the Company's liability hereunder.
When does insurance in respect of an Insured Person begin under this Policy?,Insurance in respect of an Insured Person will begin under this Policy on the first Day of the Insured Journey (except the Trip Cancellation and Frequent Flyer Cancellation Sections) after the date all of the following are true: (a) this Policy is in force; (b) the Insured Person is eligible to be insured; (c) the required premium has been paid to the Company; and (d) the Company...
What is the significance of the first Day of the Insured Journey under this Policy?,Insurance in respect of an Insured Person will begin under this Policy on the first Day of the Insured Journey (except the Trip Cancellation and Frequent Flyer Cancellation Sections) after the date all of the following are true.
What is the Trip Cancellation Section referred to in the text?,The Trip Cancellation Section is not specified in the text.
What is the Frequent Flyer Cancellation Section referred to in the text?,The Frequent Flyer Cancellation Section is not specified in the text.
Which courts have jurisdiction in case of a dispute arising under this Policy?,"The Indian courts alone have jurisdiction in any dispute arising under this Policy, except as otherwise provided in Section 4(8) of this Policy."
Under what circumstances can this Policy be voided?,"This Policy can be voided in the event of misrepresentation, misdescription or non-disclosure by any or on behalf of the Insured Person of any material particular."
What must Insured Persons do to prevent Accidents and avoid Sickness?,Insured Persons must take all reasonable precautions to prevent Accidents and to avoid Sickness.
What statutory requirements must Insured Persons comply with as a condition precedent to the Company's liability under this Policy?,Insured Persons must comply with all statutory requirements as a condition precedent to the Company's liability hereunder.
What is the consequence of failing to perform any act or comply with any obligation that the Insured Person is required to do under this Policy?,Timely performance or compliance is a condition precedent to the Company's liability hereunder.
When does insurance in respect of an Insured Person begin under this Policy?,Insurance in respect of an Insured Person will begin under this Policy on the first Day of the Insured Journey (except the Trip Cancellation and Frequent Flyer Cancellation Sections) after the date all of the following are true: (a) this Policy is in force; (b) the Insured Person is eligible to be insured; (c) the required premium has been paid to the Company; and (d) the Company has approved the Insured Person's proposal for this insurance.
What are the exceptions to when insurance in respect of an Insured Person begins under this Policy?,The exceptions are the Trip Cancellation and Frequent Flyer Cancellation Sections.
What is the Trip Cancellation Section referred to in the text?,The Trip Cancellation Section is not specified in the text.
What is the Frequent Flyer Cancellation Section referred to in the text?,The Frequent Flyer Cancellation Section is not specified in the text.
What is the minimum amount of premium that the Company retains upon cancellation of the Policy at the request of the Policyholder?,The Company retains a minimum of Rs. 251.
"Can the Policy be cancelled by the Policyholder? If so, how much notice needs to be given?","Yes, the Policyholder can cancel the Policy by giving thirty (30) days notice in writing to the Company."
"Can the Company cancel the Policy? If so, how much notice needs to be given?","Yes, the Company can cancel the Policy by giving thirty (30) days notice in writing to the Insured."
What happens to the premium paid if the Policy is cancelled by the Policyholder?,The premium paid shall be adjusted on the basis of the Company retaining a minimum of Rs. 251. Refund of premium on cancellation will be made under the Policy subject to no claims being paid or admitted by the Company.
What happens to the premium paid if the Company cancels the Policy?,Refund of premium shall be on pro-rata basis.
Under what circumstances can the Company cancel the Policy from inception immediately?,"The Company can cancel the Policy from inception immediately upon becoming aware of any mis-representation, fraud, non-disclosure of material facts, or non-cooperation by or on behalf of the Insured."
How will the Insured be notified of the cancellation of the Policy?,"Notice of cancellation will be mailed to the Insured at an address set forth in the Policy Schedule, and will indicate the date of termination. If notice of cancellation is mailed, proof of mailing will be sufficient proof of notice."
When does insurance in respect of an Insured Person terminate?,"Insurance in respect of an Insured Person shall immediately terminate on the earliest of the following dates: a) the date that the Policy is terminated, b) the date that the Total Sum Insured is paid for covered loss under Section 6 (Accidental Death), Section 7 (Permanent Disablement) of the Policy, c) in respect of Immediate Family, the date that such person ceases to be the Insured Person's Immediate Family Member, or d) the date when the actual number of travel days exceeds the Total Number of Travel Days mentioned under Item 6 of the Schedule."
What is the significance of the proposal for this insurance?,The proposal for this insurance contains material statements and particulars that are relied upon by the Company in making the decision to provide this insurance.
What is the importance of the truthfulness of the statements and particulars in the proposal?,The Company issues the Policy in reliance upon the truth of such statements and particulars.
What happens if there is misrepresentation or non-disclosure of material facts in the proposal?,"The Policy may become voidable and the Company may have the right to cancel the Policy immediately upon becoming aware of any misrepresentation, fraud, non-disclosure of material facts or non-cooperation by or on behalf of the Insured."
Can the Insured Person take any action to prevent Accidents and Sickness under this Policy?,"Yes, the Insured Person is required to take all reasonable precautions to prevent Accidents and to avoid Sickness, as a condition precedent to the Company's liability hereunder."
What happens if the Insured Person does not comply with statutory requirements?,"The Company's liability under this Policy may be affected, as compliance with statutory requirements is a condition precedent to the Company's liability hereunder."
Can the Policy be cancelled at any time by the Company?,"Yes, the Company reserves the right to cancel the Policy at any time by sending thirty (30) days notice in writing to the Insured, subject to refund of premium on pro-rata basis."
Can the Policy be cancelled by the Policyholder?,"Yes, the Policyholder can cancel the Policy by giving thirty (30) Days notice in writing to the Company, subject to adjustment of premium on the basis of the Company retaining a minimum of Rs. 251, and refund of premium subject to no claims being paid or admitted by the Company."
What happens if the actual number of travel days exceeds the Total Number of Travel Days mentioned in the Schedule?,Insurance in respect of an Insured Person shall immediately terminate on the date when the actual number of travel days exceeds the Total Number of Travel Days mentioned in the Schedule.
What happens if the Insured Person's proposal for this insurance is not approved by the Company?,Insurance in respect of the Insured Person will not begin under this Policy.
What happens if notice of cancellation is mailed to the Insured?,Proof of mailing will be sufficient proof of notice of cancellation.
"What is the consequence of misrepresentation, misdescription, or non-disclosure by the Insured Person of any material particular?","This Policy shall be voidable in the event of misrepresentation, misdescription, or non-disclosure by the Insured Person of any material particular."
What is the condition precedent to the Company's liability hereunder?,"Insured Persons shall take all reasonable precautions to prevent Accidents and to avoid Sickness and shall comply with all statutory requirements, as a condition precedent to the Company's liability hereunder."
When does insurance in respect of an Insured Person begin under this Policy? ,Insurance in respect of an Insured Person will begin under this Policy on the first Day of the Insured Journey (except the Trip Cancellation and Frequent Flyer Cancellation Sections) after the date all of the following are true.
What is the minimum notice period required to cancel this Policy at the request of the Policyholder?,This Policy may be cancelled at the request of the Policyholder by thirty (30) Days notice given in writing to the Company.
When will the Company cancel this Policy at any time?,"The Company reserves the right to cancel this Policy at any time upon becoming aware of any mis-representation, fraud, non-disclosure of material facts, or non-cooperation by or on behalf of the Insured."
When will insurance in respect of an Insured Person immediately terminate?,Insurance in respect of an Insured Person shall immediately terminate on the earliest of the dates mentioned in the General Conditions of this Policy
What is the responsibility of the Policyholder shown in Item 1 of the Schedule?,The Policyholder shown in Item 1 of the Schedule is responsible for the collection and remittance of all premiums.
What is the purpose of the fraud warning in the policy?,The purpose of the fraud warning is to warn against fraudulent acts that can lead to the policy being voided and a denial of insurance benefits.
What constitutes a fraudulent insurance act?,Filing a proposal for insurance containing false information or concealing material facts for the purpose of misleading the company.
What will happen if a fraudulent act is committed in relation to the policy?,The policy will become voidable at the company's sole discretion and insurance benefits will be denied.
Who may commit a fraudulent act in relation to the policy?,"An insured person, policyholder, beneficiary, claimant, or anyone acting on their behalf."
What types of fraudulent means or devices are mentioned in the warning?,"Any fraudulent or false plan, specification, estimate, deed, book, account entry, voucher, invoice, or other document, proof, or explanation."
What happens if loss is occasioned by or through the procurement or connivance of a person?,All benefits under the policy are forfeited.
What is a false statutory declaration?,"A false statement made under oath or affirmation, as required by law, in support of an insurance claim."
Who may suffer the consequences of a fraudulent act in relation to the policy?,"The insured person, policyholder, beneficiary, claimant, or other person who commits the fraudulent act"
Can the company take legal action against a person who commits a fraudulent act in relation to the policy?,"Yes, the company may take legal action against such person."
What is the purpose of the warning against fraudulent acts in the policy?,The warning is intended to deter and prevent fraudulent acts that can result in the policy being voided and insurance benefits being denied.
What is the purpose of inserting titles to various paragraphs in the policy?,The titles of the various paragraphs of this Policy and any endorsements attached to this Policy are inserted solely for convenience of reference and do not limit or affect in any way the provisions to which they relate.
Who is responsible for the collection and remittance of all premiums?,The Policyholder shown in Item 1 of the Schedule is responsible for the collection and remittance of all premiums.
When are premiums due under this Policy?,"Premiums are due on or prior to the Policy effective Date shown in Item 2 of the Schedule and, in the case of a multiyear Policy, on or before the annual anniversary of such Policy Effective Date."
What is a condition precedent to the Company's liability under this Policy?,Timely payment of all premium due in full is a condition precedent to the Company's liability under this Policy.
How should notices to the Company be given under this Policy?,Notices to the Company under this Policy shall be given in writing to the address shown in the preamble of this Policy.
When are such notices considered effective?,Such notices shall be effective on the date of receipt by the Company at such address.
"In what currency are all premiums, benefit amounts, loss, and other amounts under this Policy expressed and payable?","All premiums, benefit amounts, loss, and other amounts under this Policy are expressed and payable in Indian currency."
What happens if judgement is rendered or any benefit or element of loss is stated in a currency other than Indian Rupees?,"Payment under this Policy shall be made in Indian Rupees at the rate of exchange published by the Reserve Bank of India on the date the final judgement is entered, the amount of settlement is agreed."
"What does the term ""Accident"" mean in this Policy?","The term ""Accident"" in this Policy means a sudden, unforeseen and involuntary event caused by external, visible and violent means."
What is the Accumulation Limit in this Policy?,"The Accumulation Limit in this Policy is the maximum amount payable by the Company in respect of any one Accident, irrespective of the number of Insured Persons involved in such Accident."
"What is meant by ""Any one illness"" in this Policy?","""Any one illness"" in this Policy refers to a continuous period of illness, including relapse within 45 days from the date of last consultation with the Hospital/ Nursing Home where treatment may have been taken."
Who is the Assistance Provider in this Policy?,"The Assistance Provider in this Policy is the assistance company with whom the Company contracts, as an independent contractor, to provide travel-related emergency assistance services."
Who is considered the Beneficiary in case of death of the Insured Person?,"In case of death of the Insured Person, the Beneficiary is, unless stipulated otherwise by the Insured Person, the surviving Spouse of the Insured Person, mentally capable and not divorced, followed by the children recognised or adopted followed by the Insured Person's legal heirs."
"What is meant by ""Bodily Injury"" in this Policy?","""Bodily Injury"" in this Policy refers to physical, external, Accidental bodily injury occurring suddenly in time and resulting solely and independently of any other cause or any physical defect or infirmity existing before the Period of Insurance."
"What is the definition of ""Cancellation"" in this Policy?","""Cancellation"" in this Policy defines the terms on which the policy contract can be terminated either by the insurer or the insured by giving sufficient notice to other which is not lower than a period of fifteen days."
"What does ""Cashless facility"" mean in this Policy?","""Cashless facility"" in this Policy means that the TPA/ Insurer may authorize, upon the insured's request, for the direct settlement of admissible claim as per agreed charges between Network hospitals and the TPA/ Insurer."
"What is meant by ""Civil War"" in this Policy?","""Civil War"" in this Policy means armed opposition, whether declared or not, between two or more parties belonging to the same country where the opposing parties are of different ethnic, religious or ideological groups."
Is it necessary for the Policyholder to collect and remit premiums for this Policy?,"Yes, the Policyholder shown in Item 1 of the Schedule is responsible for the collection and remittance of all premiums."
"What does the term ""Common Carrier"" mean in the policy?","The term ""Common Carrier"" refers to any land, sea, or air conveyance that is operated under a license issued by a governmental authority having jurisdiction for the transportation of fare paying passengers and which has fixed, established routes only."
"What is the meaning of ""Condition Precedent"" in the policy?","""Condition Precedent"" means a policy term or condition upon which the Insurer's liability under the policy is conditional upon."
"What is the definition of ""Co-Payment"" in a health insurance policy?","""Co-Payment"" is a cost-sharing requirement under a health insurance policy that provides that the policyholder/insured will bear a specified percentage of the admissible claim amount, and it does not reduce the sum insured."
"What does the term ""Compensation"" mean in the policy?","The term ""Compensation"" means Sum Insured, Total Sum Insured, or a percentage of the Sum Insured, as appropriate."
"What are ""Daily Activities"" in the policy context?","""Daily Activities"" refers to activities such as cooking and/or taking food, discharging urine and/or faeces, getting dressed or undressed, washing and taking a bath, walking, and general living activities."
"What is the meaning of the term ""Daily Benefit"" in the policy?","""Daily Benefit"" refers to the amount payable for every twenty-four (24) continuous hours an Insured Person is in Hospital as an in-patient up to the maximum number of days stated in the Schedule."
"What is the definition of ""Congenital Anomaly"" in the policy?","""Congenital Anomaly"" refers to a condition(s) that are present since birth and are abnormal with reference to form, structure, or position. It is further categorized into Internal Congenital Anomaly and External Congenital Anomaly."
"What is the meaning of ""Contribution"" in the policy?","""Contribution"" is essentially the right of an insurer to call upon other insurers, liable to the same insured, to share the cost of an indemnity claim on a ratable proportion of the Sum Insured. However, this clause shall not apply to any Benefit offered on a fixed benefit basis."
"Who is defined as a ""Close Business Associate"" in the policy?","A ""Close Business Associate"" refers to a business associate not a fellow employee of the Insured Person where the business relationship with the Insured Person is continuous and reliant on each other for the Insured Person's business, or a business companion who travels with the Insured Person for the same business purpose, and whose presence is necessary for the Insured Person's business, or a fellow employee of the Insured Person."
"What is the definition of ""Cancellation"" in the policy?","""Cancellation"" defines the terms on which the policy contract can be terminated either by the insurer or the insured by giving sufficient notice to the other, which is not lower than a period of fifteen days. However, the terms of cancellation may differ from insurer to insurer."
"What is meant by the term ""Daily Benefit"" in the policy?",Daily Benefit means the amount payable for every twenty-four (24) continuous hours an Insured Person is in Hospital as an in-patient up to the maximum number of days stated in the Schedule.
"What does the term ""Accident"" mean in the policy?","Accident or Accidental means a sudden, unforeseen and involuntary event caused by external, visible & violent means."
How is the Accumulation Limit defined in the policy?,"The Accumulation Limit means the maximum amount payable by the Company in respect of any one Accident, irrespective of the number of Insured Persons involved in such Accident."
What is a Close Business Associate?,"A Close Business Associate means a business associate not a fellow employee of the Insured Person where the business relationship with the Insured Person is continuous and reliant on each other for the Insured Person's business, or a business companion who travels with the Insured Person for the same business purpose, and whose presence is necessary for the Insured Person's business, or a fellow employee of the Insured Person."
What is a Beneficiary in the policy?,"In case of death of the Insured Person, the Beneficiary means, unless stipulated otherwise by the Insured Person, the surviving Spouse of the Insured Person, mentally capable and not divorced, followed by the children recognised or adopted followed by the Insured Person's legal heirs. For all other benefits, the Beneficiary means the Insured Person himself unless stipulated otherwise."
What is the Day Care Centre?,"The Day Care Centre is an institution established for day care treatment of illness and/or injuries or a medical setup within a hospital that has qualified nursing staff, qualified medical practitioners in charge, a fully equipped operation theatre of its own, and maintains daily records of patients."
What is a Deductible?,"A Deductible is an amount stated in the Schedule as a percentage or a fixed amount, which will be deducted from the Compensation for a specific benefit, or a period of time for which the Company will not pay any benefit."
What is meant by Emergency care?,Emergency care means management for a severe illness or injury which results in symptoms that occur suddenly and unexpectedly and requires immediate care by a medical practitioner to prevent death or serious long-term impairment of the insured person's health.
Who is a Dependent Child?,"A Dependent Child is an unmarried dependent child ordinarily residing with the Insured Person between the ages of three (3) months and up to and including the age of eighteen (18) years or up to and including the age of twenty-one (21) years if in full-time education at an accredited tertiary institution at the time of the Date of Loss, including legally adopted and stepchildren, of an Insured Person or the Spouse of an Insured Person."
What is meant by Date of Loss for Sickness?,"For Sickness, the Date of Loss means the first date of diagnosis or the date the Insured Person first became aware of the Sickness."
What is the Disclosure to information norm?,"The Disclosure to information norm states that the Policy shall be void and all premium paid hereon shall be forfeited to the Company in the event of misrepresentation, mis-description, or non-disclosure of any material fact."
What is the Family Accumulation Limit?,"The Family Accumulation Limit is the maximum amount payable by the Company in respect of any one Accident, irrespective of the number of Insured Persons from the same Immediate Family involved in such Accident."
What is meant by Day care treatment?,Day care treatment refers to medical treatment and/or surgical procedures which are undertaken under General or Local Anesthesia in a hospital/day care centre in less than 24 hours because of technological advancement and which would have otherwise required hospitalization of more than 24 hours.
What is Foreign War?,"Foreign War means armed opposition, whether declared or not, between two countries."
"
What is the definition of Family Accumulation Limit under the policy?","Family Accumulation Limit is the maximum amount payable by the Company in respect of any one Accident, irrespective of the number of Insured Persons from the same Immediate Family involved in such Accident."
What is the definition of Foreign War under the policy?,"Foreign War means armed opposition, whether declared or not, between two countries."
What is the definition of Deductible under the policy?,"Deductible means an amount stated in the Schedule as a percentage, or a fixed amount, which will be deducted from the Compensation for a specific benefit, or a period of time for which the Company will not pay any benefit."
What is the definition of Date of Loss under the policy?,"Date of Loss under the policy is defined as the date of the Accident for Accident-related benefits, the date the event happened that leads to an alleged claim for all other benefits, and the first date of diagnosis or the date the Insured Person first became aware of the Sickness for Sickness-related benefits."
What does franchise mean in the given text?,"Franchise means an amount stated in the Schedule as a percentage or a fixed amount for which the Company will not be responsible if the claim falls below such percentage or fixed amount, or a period of time for which the Company will not be responsible unless the period of time has expired."
What is the definition of hospitalization in the given text?,"Hospitalization means admission in a Hospital for a minimum period of 24 Inpatient Care consecutive hours except for specified procedures/ treatments, where such admission could be for a period of less than 24 consecutive hours."
What is the definition of immediate family member in the given text?,"Immediate Family/ Immediate Family Member means an Insured Person's Spouse; children; children-in-law; siblings; siblings-in-law; parents; parents-in-law; grandparents; grandchildren; legal guardian, ward; step or adopted children; step-parents; aunts, uncles; nieces, and nephews, who reside in the same country as the Insured Person."
What is the definition of illness in the given text?,"Illness means a sickness or a disease or pathological condition leading to the impairment of normal physiological function which manifests itself during the Policy Period and requires medical treatment. Acute condition is a disease, illness or injury that is likely to respond quickly to treatment which aims to return the person to his or her state of health immediately before suffering the disease/illness/injury which leads to full recovery."
What is an insured journey?,"An insured journey is a trip that commences during the Period of Insurance, and the Company agrees to continue the insurance for an Insured Person who commences an Insured Journey before the Policy Expiration Date, on the proviso that premium has been paid for such Insured Journey, and the return trip is within One hundred Eighty (180) Days after the Insured Journey commences."
Who is considered an insured person?,"An insured person is anyone over the age of three (3) months and aged seventy (70) years old or younger, except when the Company, at its sole discretion, accepts anyone over 70 years old, for whom premium has been paid and who is identified in Item 6 of the Schedule as an Insured Person."
What are medical expenses?,"Medical expenses are those expenses that an Insured Person has necessarily and actually incurred for medical treatment on account of Illness or Accident on the advice of a Medical Practitioner, as long as these are no more than would have been payable if the Insured Person had not been insured and no more than other hospitals or doctors in the same locality would have charged for the same medical treatment."
Does an illness or disease qualify as an injury according to the share text?,"No, illness or disease is excluded from the definition of injury according to the share text."
What are the characteristics of a chronic condition?,"The characteristics of a chronic condition include the need for ongoing or long-term monitoring, control, rehabilitation, or training to cope with, indefinite duration, or likelihood of recurrence."
What is Operative Time?,Operative Time means the time that the insurance is effective as stated on the Schedule.
What is Period of Insurance?,"Period of Insurance means the Operative Time stated in the Schedule, commencing on or after the Policy Effective Date and terminating on or before the Policy Expiration Date."
What is Permanent Total Disablement?,"Permanent Total Disablement means disablement, as the result of a Bodily Injury, which continues for a period of twelve (12) consecutive months, is confirmed as total, continuous and permanent by a Physician after the twelve (12) consecutive months, and entirely prevents an Insured Person from engaging in or giving attention to gainful employment."
What does the term Reasonable & Customary charges mean?,"Reasonable & Customary charges means the charges for services or supplies, which are the standard charges for the specific provider and consistent with the prevailing charges in the geographical area for identical or similar services, taking into account the nature of the illness/injury involved."
What is Sum Insured?,"Sum Insured means the amount stated in the Table of Benefits in the Schedule as the Total Sum Insured, or limited to the specific insurance details in any Section of this Policy."
What is the time frame for giving written notice of a claim under the policy?,The written notice of any claim must be given to the Company as soon as practicable and within 30 days after the occurrence
When must written notice of a death claim be given to the Company?,Written notice of a death claim must be given to the Company immediately.
Is there any specific format or nature of evidence required for a claim under the policy?,"Yes, all certificates, information, and evidence required by the Company shall be furnished in the form and nature prescribed by the Company."
"Within how many days of the loss, must the insured person provide complete, written proof of loss to the Company?","Complete, written proof of loss must be given to the Company within 60 days after the date of loss, or as soon as reasonably possible."
What must the proof of loss contain?,"The proof of loss must contain the policy number, preliminary medical report, invoices and bills, and other legal documents as required by the Company."
Is the insured person required to undergo medical examination in case of any claim?,"Yes, in case of any alleged claim, the Insured Person shall submit to medical examination at the Company's expense, as required by the Company."
Is there any limitation on bringing legal action against the Company?,"Yes, no claim or legal action may be brought against the Company more than three years after the date of loss or the date the claim is denied in whole or in part, whichever is later."
What happens if the insured person fails to timely submit any claim or commence legal action?,"If the insured person fails to timely submit any claim or commence legal action, all benefits under this policy in respect of such claim shall be forfeited."
When will the Company effect payment of covered claims?,"The Company will effect payment of covered claims subject to receiving complete, written proof of loss and other required information and premium having been paid, within 7 days."
Is the Company entitled to examine the insured person during the pendency of the claim?,"Yes, the Company at its own expense shall have the right and opportunity to examine the Insured Person whose Bodily Injury or Sickness is the basis of a claim and as often as it may be reasonably required during the pendency of the claim."
In what situations would the Company not be liable to pay benefits for Bodily Injury or Sickness?,"The Company would not be liable to pay benefits for Bodily Injury or Sickness caused by Civil War or Foreign War, intentionally caused by the Insured Person, due to wilful or deliberate exposure to danger, under the influence of alcohol or drugs, etc."
What is the definition of a Pre-existing Condition in this policy? ,"A Pre-existing Condition is any medical condition, ailment, or injury that existed before the effective date of the policy."
Would the Company pay for Bodily Injury sustained as the result of Terrorism?,"No, the Company would not pay for Bodily Injury sustained as the result of Terrorism."
Can an Insured Person participate in any sport as a professional player and still be eligible for benefits?,"No, an Insured Person cannot participate in any sport as a professional player and still be eligible for benefits."
Does the policy cover any treatments for nervous or mental problems?,"No, the policy does not cover treatments for nervous or mental problems."
"Can an Insured Person engage in any hazardous sport such as parachuting, hangliding, or bungee jumping and still be eligible for benefits?","No, an Insured Person cannot engage in any hazardous sport such as parachuting, hangliding, or bungee jumping and still be eligible for benefits."
Would the Company pay for Bodily Injury sustained whilst the Insured Person is travelling by air as a fare paying passenger on an aircraft registered to an airline company for the transport of paying passengers on regular and published scheduled routes?,"Yes, the Company would pay for Bodily Injury sustained whilst the Insured Person is travelling by air as a fare paying passenger on an aircraft registered to an airline company for the transport of paying passengers on regular and published scheduled routes."
"Does the policy cover investigations, operations or treatment of a purely cosmetic nature?","No, the policy does not cover investigations, operations or treatment of a purely cosmetic nature."
Can an Insured Person ride or drive a motorcycle or motor scooter over one hundred fifty (150) cc and still be eligible for benefits?,"No, an Insured Person cannot ride or drive a motorcycle or motor scooter over one hundred fifty (150) cc and still be eligible for benefits."
"Would the Company pay for Bodily Injury sustained whilst the Insured Person is participating in any competition involving the utilisation of a motorised land, water, or air vehicle?","No, the Company would not pay for Bodily Injury sustained whilst the Insured Person is participating in any competition involving the utilisation of a motorised land, water, or air vehicle."
What is the time limit for filing an insurance claim under the policy?,The policy requires that claims be filed within 30 days of the occurrence of the event that led to the claim.
Is coverage under the policy limited to accidents that occur within a particular geographic region?,"No, coverage under the policy is not limited to any particular geographic region."
What is the Disappearance extension of the policy?,"The Disappearance extension provides coverage in the event that an insured person goes missing following a forced landing, stranding, sinking or wrecking of a conveyance in which the insured person was known to have been travelling as an occupant."
Does the policy cover death as a direct result of exposure to the elements?,"Yes, death as a direct result of exposure to the elements is covered under the Exposure extension of the policy."
Are there any limitations to the coverage provided under the policy?,"Yes, if an insured person has received payment under the Permanent Disablement section of the policy, any amounts paid under that section would be deducted from payment of a claim under the Accidental Death section."
Can the policy be cancelled at any time?,"Yes, the policy can be cancelled at any time by the policyholder or the insurer, subject to the terms and conditions of the policy."
How is the compensation amount determined under the Accidental Death section of the policy?,The compensation amount is predetermined and stated in the schedule of the policy.
Does the policy cover death due to illness or natural causes?,"No, the policy covers only accidental death and not death due to illness or natural causes."
Can the policy be renewed?,"Yes, the policy can be renewed at the end of the policy term subject to the terms and conditions of the policy."
Who is eligible for the insurance coverage,Any insured person who sustains bodily injury resulting in death or permanent disability is eligible for insurance coverage.
What is the time frame within which an insured person must die in order for the beneficiary to receive compensation?,An insured person must die within 12 months of the date of loss in order for the beneficiary to receive compensation.
"What happens if an insured person disappears following a forced landing, stranding, sinking or wrecking of a conveyance in which they were travelling?","If an insured person disappears following a forced landing, stranding, sinking, or wrecking of a conveyance in which they were travelling, and they are not found within 12 months, it is deemed that they have died as a result of an accident"
What is the policy regarding reimbursement if it is discovered that an insured person who was presumed dead is actually alive?,"If it is discovered that an insured person who was presumed dead is actually alive, all payments made under the accidental death benefit will be reimbursed in full to the company."
What is the definition of exposure under the insurance policy?,Exposure to the elements resulting in death is deemed to be bodily injury under the insurance policy.
What is the deduction policy for claims made under the permanent disablement section and the accidental death section of the insurance policy?,"If a payment has been made under the permanent disablement section, any amounts paid under that section would be deducted from payment of a claim under the accidental death section of the policy"
Is permanent disability covered under the insurance policy mentioned in the text?,"Yes, the insurance policy mentioned in the text provides coverage for permanent disability."
Is there a waiting period before an insured person can make a claim under the insurance policy?,The text does not mention any waiting period before an insured person can make a claim under the insurance policy.
